LATITUDE       	LONGITUDE
37.125         	71.375
38.375         	70.875
37.125         	70.125
36.625         	71.125
37.875         	70.375
36.875         	70.125
35.625         	70.625
37.625         	70.625
37.375         	70.875
36.875         	73.375
36.125         	71.375
35.125         	62.625
35.625         	63.625
34.875         	64.125
35.375         	63.125
35.375         	63.625
34.875         	63.625
34.875         	62.875
35.625         	69.375
36.125         	68.875
36.375         	68.875
35.875         	68.375
35.875         	68.875
34.875         	67.625
35.375         	69.125
35.875         	69.375
35.125         	68.125
36.875         	66.875
36.875         	66.625
36.375         	67.125
36.375         	66.625
36.625         	66.875
37.125         	67.625
36.625         	67.875
36.125         	66.875
36.625         	67.375
36.625         	67.125
34.875         	67.375
34.625         	66.875
34.625         	67.875
34.125         	66.875
34.875         	67.125
34.375         	66.125
33.125         	65.875
33.125         	65.625
33.875         	66.625
32.625         	61.375
32.375         	62.875
32.875         	62.625
32.375         	62.125
32.875         	63.625
32.875         	62.125
31.625         	61.375
33.125         	63.125
32.625         	61.125
32.125         	61.125
36.125         	64.375
35.875         	65.375
36.375         	64.875
36.125         	64.875
35.375         	64.625
35.875         	64.875
36.625         	64.875
35.625         	64.375
36.125         	65.125
32.875         	68.375
33.625         	67.125
33.375         	68.625
32.625         	67.375
33.375         	68.375
33.125         	68.375
33.375         	67.875
33.375         	67.625
33.125         	67.125
32.875         	67.625
32.125         	67.375
34.125         	67.875
33.625         	68.625
34.375         	65.625
34.375         	65.875
33.875         	65.125
33.625         	63.375
34.375         	64.875
33.375         	64.125
34.125         	63.875
32.625         	64.875
30.375         	63.125
31.125         	64.125
32.625         	65.125
31.625         	64.625
32.375         	64.875
31.625         	64.125
31.875         	64.625
32.625         	64.375
31.375         	64.125
30.625         	63.625
31.875         	65.125
32.375         	63.875
33.875         	62.875
34.375         	64.125
34.125         	61.375
35.125         	61.125
34.125         	62.375
34.375         	62.125
34.375         	62.375
34.625         	62.625
34.625         	61.625
35.375         	62.125
34.625         	62.375
34.375         	63.375
34.375         	62.875
33.125         	62.375
34.625         	61.875
36.875         	66.125
36.125         	65.375
36.625         	66.375
36.875         	65.625
36.875         	66.375
37.125         	65.875
36.625         	65.875
34.625         	69.375
34.375         	68.875
34.875         	68.875
34.625         	69.125
34.875         	69.125
34.375         	69.625
34.375         	69.125
34.625         	68.875
34.875         	69.375
31.625         	65.625
31.375         	66.375
31.625         	66.125
31.875         	65.375
31.625         	67.125
31.625         	65.125
31.625         	65.375
32.125         	66.375
30.375         	66.125
31.125         	66.625
34.875         	69.875
35.125         	69.375
34.875         	69.625
33.625         	70.125
33.375         	69.875
33.125         	70.125
33.375         	69.625
33.625         	69.875
33.125         	69.625
33.125         	69.875
33.375         	70.125
34.875         	71.125
35.125         	71.125
35.125         	70.625
34.625         	70.875
35.125         	71.625
34.875         	70.875
34.625         	71.125
34.625         	70.625
36.625         	68.875
36.875         	68.625
36.875         	69.375
37.125         	68.875
36.625         	69.125
36.625         	68.125
34.625         	70.375
34.875         	70.125
35.125         	69.875
34.625         	69.875
33.875         	68.875
33.625         	68.875
34.125         	69.375
34.125         	69.125
34.125         	70.625
34.375         	70.625
34.375         	70.375
34.125         	70.375
34.125         	71.125
34.125         	69.625
34.375         	70.125
34.375         	71.125
34.125         	70.875
34.125         	69.875
31.125         	62.125
29.875         	61.375
31.125         	61.875
31.375         	62.625
35.875         	71.375
35.625         	71.625
35.375         	70.125
35.375         	70.875
32.625         	69.375
32.625         	68.125
33.125         	69.375
32.875         	68.875
33.375         	68.875
32.875         	68.625
32.875         	69.125
33.125         	68.875
32.125         	68.625
31.875         	68.875
33.875         	69.875
33.625         	69.375
33.375         	69.375
33.875         	69.625
33.625         	69.625
33.375         	69.125
35.625         	70.125
35.375         	69.625
35.125         	69.125
34.875         	68.375
35.125         	68.875
34.625         	68.375
36.375         	68.125
36.125         	67.125
35.875         	68.125
35.625         	68.125
35.375         	66.125
35.125         	65.875
35.875         	66.125
36.125         	65.875
36.125         	66.375
36.625         	69.375
37.375         	69.875
36.625         	69.625
37.375         	69.625
36.375         	69.125
36.875         	69.875
36.875         	69.625
36.125         	69.875
37.125         	69.625
33.125         	66.625
32.875         	65.625
33.375         	66.625
32.375         	65.375
32.875         	65.875
34.125         	68.375
34.375         	68.375
34.375         	68.125
34.625         	68.625
32.625         	66.875
31.875         	67.625
32.875         	66.875
32.375         	66.875
32.375         	67.375
31.875         	67.375
31.875         	66.875
32.125         	66.625
35.375         	79.375
35.125         	80.125
40.625         	19.875
40.875         	19.875
40.375         	20.375
41.625         	20.375
41.875         	20.625
41.625         	19.875
41.375         	19.625
41.625         	19.625
40.875         	20.125
41.125         	20.375
41.125         	19.875
40.875         	19.625
40.625         	19.625
40.125         	20.375
40.375         	20.125
40.625         	21.125
40.375         	20.625
40.625         	20.875
40.875         	20.625
42.125         	20.375
42.375         	20.125
41.875         	19.625
42.625         	19.625
41.875         	19.875
41.125         	19.625
39.875         	20.125
39.625         	20.125
36.375         	2.375
36.375         	1.875
36.125         	2.375
36.375         	2.125
35.875         	1.875
36.125         	1.875
36.125         	2.125
36.375         	1.625
36.125         	1.625
36.125         	2.625
35.875         	2.375
35.125         	-1.125
35.375         	-0.875
35.375         	-1.125
35.125         	-1.375
35.625         	-0.875
35.125         	-0.875
35.375         	-0.625
36.625         	3.125
36.625         	2.875
36.625         	3.375
36.625         	7.625
36.875         	7.625
36.625         	7.375
35.875         	5.875
35.625         	6.375
35.375         	6.125
35.625         	6.625
35.625         	5.375
35.125         	6.375
35.625         	5.875
35.125         	6.125
35.625         	6.125
36.625         	5.125
36.375         	4.625
36.625         	4.625
36.625         	4.875
36.625         	5.375
36.375         	4.375
36.375         	5.125
36.375         	5.375
34.625         	5.375
34.625         	5.875
36.375         	2.625
36.375         	2.875
36.375         	3.125
36.125         	5.125
36.125         	4.125
36.125         	4.875
36.375         	4.875
36.125         	4.625
35.875         	4.625
36.125         	4.375
35.875         	5.125
35.875         	4.875
36.375         	3.625
36.375         	3.875
36.375         	4.125
36.125         	3.875
36.125         	3.625
36.375         	3.375
36.625         	3.625
36.875         	3.875
36.625         	3.875
36.375         	1.125
