LATITUDE       	LONGITUDE
31.608         	-109.808
33.692         	-111.308
32.442         	-109.392
32.608         	-109.225
33.692         	-111.392
33.442         	-111.558
33.108         	-114.142
39.525         	-121.975
39.108         	-122.142
36.442         	-119.642
39.608         	-122.058
33.025         	-115.642
36.442         	-118.225
35.192         	-119.142
36.442         	-119.558
36.942         	-120.058
37.192         	-121.142
35.775         	-120.392
38.608         	-122.225
38.858         	-121.475
38.275         	-121.392
36.192         	-120.725
32.608         	-116.392
37.858         	-121.475
35.775         	-121.308
37.358         	-122.308
34.775         	-119.475
38.358         	-121.892
37.775         	-120.892
39.108         	-121.892
39.858         	-122.308
36.525         	-119.475
34.608         	-119.142
38.525         	-121.892
39.275         	-121.642
39.858         	-103.975
40.025         	-105.142
39.942         	-105.058
39.025         	-102.475
38.942         	-107.808
39.858         	-104.642
37.858         	-108.308
38.442         	-104.975
37.858         	-104.892
39.192         	-102.225
40.608         	-104.975
39.442         	-103.308
40.692         	-103.142
38.942         	-108.142
37.608         	-108.808
38.192         	-107.975
40.275         	-103.558
37.775         	-103.975
40.525         	-102.308
37.942         	-104.892
40.775         	-102.142
39.775         	-103.558
40.025         	-104.892
40.358         	-102.475
41.692         	-72.142
38.608         	-75.725
43.442         	-116.392
43.692         	-116.642
42.358         	-113.058
46.442         	-116.308
42.942         	-115.225
43.858         	-116.725
43.025         	-114.642
46.608         	-114.642
42.775         	-114.142
46.942         	-116.975
46.442         	-116.392
42.858         	-114.142
42.942         	-113.725
46.275         	-116.892
42.608         	-115.392
43.942         	-116.975
42.192         	-114.308
44.442         	-116.558
39.358         	-87.558
38.942         	-87.558
40.608         	-91.225
38.775         	-87.558
41.192         	-91.058
41.358         	-90.975
40.692         	-84.892
40.942         	-84.892
39.192         	-85.725
40.608         	-87.392
40.525         	-85.308
40.025         	-86.642
39.275         	-86.225
40.442         	-86.642
40.692         	-86.475
38.442         	-85.808
39.275         	-87.142
40.358         	-86.558
38.358         	-86.475
38.692         	-87.058
41.275         	-84.892
39.275         	-85.058
39.275         	-85.392
40.358         	-85.308
38.192         	-86.892
41.608         	-85.725
39.692         	-85.225
38.358         	-85.975
40.025         	-87.225
39.442         	-84.892
41.108         	-86.142
38.192         	-87.725
40.608         	-85.475
38.942         	-87.142
40.192         	-85.892
39.775         	-85.725
38.358         	-86.058
39.858         	-86.642
39.858         	-85.558
40.442         	-86.392
40.775         	-85.475
38.775         	-85.892
40.775         	-87.142
40.525         	-84.892
38.858         	-85.558
39.108         	-85.558
39.442         	-85.975
38.608         	-87.558
41.108         	-85.808
41.608         	-85.642
41.275         	-87.392
41.442         	-86.808
38.692         	-86.475
40.275         	-85.808
39.692         	-85.975
41.275         	-86.225
38.692         	-86.892
40.608         	-85.975
39.192         	-86.642
40.108         	-87.058
39.525         	-86.642
40.775         	-87.308
41.442         	-85.642
38.942         	-84.975
38.608         	-86.392
39.442         	-86.725
39.775         	-87.058
38.108         	-86.808
38.525         	-87.225
41.358         	-86.975
38.108         	-87.725
41.108         	-86.808
39.608         	-86.725
40.192         	-84.975
39.192         	-85.392
39.442         	-85.475
41.692         	-86.475
38.692         	-85.808
39.608         	-85.725
37.942         	-87.058
41.192         	-86.892
41.525         	-85.142
39.025         	-87.475
38.858         	-85.142
40.525         	-86.725
40.358         	-86.058
39.608         	-84.892
38.108         	-87.642
40.025         	-87.475
39.275         	-87.558
40.942         	-85.725
40.442         	-87.475
38.025         	-87.475
38.608         	-86.308
39.942         	-84.892
40.775         	-85.142
40.775         	-87.058
41.025         	-85.642
41.275         	-94.558
41.108         	-94.558
43.192         	-91.392
40.775         	-93.058
41.775         	-95.058
42.025         	-92.308
42.358         	-92.475
42.108         	-93.725
42.775         	-92.142
42.608         	-91.725
42.608         	-94.975
42.608         	-92.892
42.275         	-94.725
42.192         	-94.808
41.358         	-94.725
41.608         	-90.975
42.942         	-93.475
42.775         	-95.808
43.192         	-92.558
41.025         	-93.642
43.192         	-95.392
43.025         	-91.392
41.775         	-90.892
42.108         	-95.142
41.775         	-94.225
40.692         	-92.392
40.608         	-93.975
42.525         	-91.308
40.858         	-91.308
43.358         	-95.392
42.525         	-91.142
43.275         	-94.475
42.692         	-91.725
43.108         	-92.892
42.692         	-93.475
40.692         	-95.558
42.108         	-94.642
42.358         	-92.725
41.775         	-94.725
42.192         	-93.558
43.025         	-93.975
42.192         	-93.475
41.775         	-96.058
41.108         	-91.642
43.358         	-92.558
42.692         	-94.225
42.275         	-95.475
41.775         	-92.308
42.025         	-90.808
41.775         	-92.892
41.108         	-91.808
41.525         	-91.808
42.275         	-91.058
41.442         	-91.975
42.942         	-94.142
40.775         	-91.642
42.275         	-91.808
41.192         	-91.475
40.942         	-93.142
43.275         	-95.892
41.442         	-94.225
41.358         	-92.475
41.442         	-92.892
42.108         	-93.225
40.942         	-95.642
43.358         	-92.808
41.858         	-95.725
41.108         	-92.808
40.942         	-95.392
41.525         	-91.058
43.192         	-95.725
43.275         	-95.725
40.608         	-95.308
43.192         	-94.475
42.775         	-96.058
42.608         	-94.475
41.775         	-93.392
41.358         	-95.475
41.775         	-92.642
40.775         	-94.475
42.358         	-94.892
41.608         	-90.892
41.775         	-95.142
42.942         	-96.058
42.108         	-93.475
42.108         	-92.642
40.692         	-94.892
41.108         	-94.475
40.608         	-92.142
41.108         	-92.475
41.358         	-93.558
41.358         	-91.808
40.692         	-93.392
42.525         	-94.392
43.358         	-93.975
43.108         	-91.725
42.525         	-96.225
43.358         	-93.058
42.775         	-93.975
39.608         	-101.892
38.192         	-100.892
39.108         	-100.808
38.192         	-101.142
39.108         	-101.058
39.358         	-100.725
39.358         	-101.725
39.275         	-101.142
39.108         	-102.058
38.525         	-101.558
39.025         	-84.892
38.442         	-82.642
38.942         	-84.308
38.692         	-85.308
37.858         	-87.308
38.608         	-82.892
37.942         	-86.892
38.025         	-82.558
38.608         	-83.558
38.608         	-83.725
38.025         	-86.475
38.358         	-85.642
38.692         	-85.392
44.275         	-70.308
47.275         	-68.142
44.108         	-70.725
45.525         	-70.642
44.608         	-68.642
44.442         	-69.475
44.275         	-69.225
